"Product Name",Descriptions,Price,"URL of Image"
"DEBADA SERUM VISAGE MULTI-ACTIONS ACIDE...","DEBADA SERUM VISAGE MULTI-ACTIONS ACIDE...","20,998 TND",https://pharma-shop.tn/20177-large_default/debada-serum-visage-multi-actions-acide-hyaluronique-30ml.jpg
"BOTANIKA HUILE D'ARGAN ELIXIR 50ML","BOTANIKA HUILE D'ARGAN ELIXIR 50ML","56,972 TND",https://pharma-shop.tn/19854-large_default/botanika-huile-d-argan-elixir-50ml.jpg
"K-REINE CRÈME DE MODELAGE POUR VISAGE 150ML","K-REINE CRÈME DE MODELAGE POUR VISAGE 150ML","17,850 TND",https://pharma-shop.tn/11585-large_default/k-reine-creme-de-modelage-pour-visage-150ml.jpg
"VICHY MINERAL BOOSTER 89 50ML","VICHY MINERAL BOOSTER 89 50ML","94,962 TND",https://pharma-shop.tn/7113-large_default/vichy-mineral-booster-89-50ml.jpg
"FILORGA CREME UNIVERSELLE 100ML","FILORGA CREME UNIVERSELLE 100ML","84,897 TND",https://pharma-shop.tn/2974-large_default/filorga-creme-universelle.jpg
"BYPHASSE CREME JOUR & NUIT HYDRA INFINI 24H , 50ML","BYPHASSE CREME JOUR & NUIT HYDRA INFINI 24H , 50ML","34,200 TND",https://pharma-shop.tn/20486-large_default/byphasse-creme-jour-nuit-hydra-infini-24h--50ml.jpg
"ERICA SERUM HYALHYDRA B5 30ML","ERICA SERUM HYALHYDRA B5 30ML","54,162 TND",https://pharma-shop.tn/20474-large_default/erica-serum-hyalhydra-b5-30ml.jpg
"BOTANIKA BLUR LISSANT 50ML","BOTANIKA BLUR LISSANT 50ML","55,887 TND",https://pharma-shop.tn/20054-large_default/botanika-blur-lissant-50ml.jpg
"BOTANIKA CREME DE JOUR 30ML","BOTANIKA CREME DE JOUR 30ML","53,914 TND",https://pharma-shop.tn/19858-large_default/botanika-creme-de-jour-30ml.jpg
"GAMARDE BEAUTE PAILLETEE VOILE SCINTILLANT...","GAMARDE BEAUTE PAILLETEE VOILE SCINTILLANT...","71,400 TND",https://pharma-shop.tn/18965-large_default/gamarde-beaute-pailletee-voile-scintillant-corps-100ml.jpg
"OBLEPIKHA C-BERRICA PROFESSIONAL VITAMIN C...","OBLEPIKHA C-BERRICA PROFESSIONAL VITAMIN C...","79,810 TND",https://pharma-shop.tn/16380-large_default/oblepikha-c-berrica-professional-vitamin-c-masque-visage-reparateur-100ml.jpg
"NATURA C-BERRICA OBLEPIKHA PROFESSIONAL...","NATURA C-BERRICA OBLEPIKHA PROFESSIONAL...","66,119 TND",https://pharma-shop.tn/16370-large_default/oblepikha-c-berrica-professional-vitamine-c-creme-fluide-legere-tonifiante-50ml.jpg
"RIVADERM HYDRA CLEAR SPF 30 50ML","RIVADERM HYDRA CLEAR SPF 30 50ML","34,745 TND",https://pharma-shop.tn/16581-large_default/rivaderm-hydra-clear-spf-30-50ml.jpg
"NUXE HUILE PRODIGIEUSE FLORALE 50ML","NUXE HUILE PRODIGIEUSE FLORALE 50ML","68,444 TND",https://pharma-shop.tn/7935-large_default/nuxe-huile-prodigieuse-florale-50ml.jpg
"ALMAFLORE GEL ALOE VERA 90ML","ALMAFLORE GEL ALOE VERA 90ML","14,423 TND",https://pharma-shop.tn/6161-large_default/almaflore-gel-d-aloe-vera-100ml.jpg
"JOWAE EAU DE SOIN HYDRATANTE 50ML","JOWAE EAU DE SOIN HYDRATANTE 50ML","44,816 TND",https://pharma-shop.tn/21770-large_default/jowae-eau-de-soin-hydratante-200ml.jpg
"BIODERMA HYDRABIO CREME POT 50ML","BIODERMA HYDRABIO CREME POT 50ML","52,835 TND",https://pharma-shop.tn/15462-large_default/bioderma-hydrabio-creme-pot-50ml.jpg
"SO'BIO EAU MICELLAIRE HYDRATANTE, 500 ML","SO'BIO EAU MICELLAIRE HYDRATANTE, 500 ML","52,280 TND",https://pharma-shop.tn/4419-large_default/eau-micellaire-hydratante.jpg
"FILORGA NCEF ESSENCE 150ML","FILORGA NCEF ESSENCE 150ML","127,797 TND",https://pharma-shop.tn/10109-large_default/filorga-ncef-essence-150ml.jpg
"MAGICLEAR CREME DE NUIT REGENERANTE + VIT C 50GR","MAGICLEAR CREME DE NUIT REGENERANTE + VIT C 50GR","78,492 TND",https://pharma-shop.tn/21230-large_default/magiclear-creme-de-nuit-regenerante-vit-c-50gr.jpg
"SESDERMA HIDRADERM HYAL CREME VISAGE, 50ML","SESDERMA HIDRADERM HYAL CREME VISAGE, 50ML","106,188 TND",https://pharma-shop.tn/3765-large_default/sesderma-hidraderm-hyal-creme-visage-50ml.jpg
